"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"31","1990","0","217.03","222213902.8334","27730837.3799","134400884.5285","39788552.0729","-15915957.0263","7137898.5902","1508960.7935","24153756.6496","0","0","0","452.45","441561"
"32","1991","0","233.66","222460263.3026","27604974.4365","134575158.377","39852810.608","-15980412.4683","7196562.4399","1575198.2891","24393864.5399","0","0","0","446.9","440297"
"33","1992","329735.3878","228.43","223370648.8606","27626960.6587","134836837.8484","39982656.809","-16155901.7238","7281150.2724","1726054.8738","24932107.0869","0","0","0","461.24","479838"
"34","1993","329731.8557","215.95","224891211.0638","27520606.6902","136537886.9843","40068232.8463","-16252009.2884","7359072.611","1455311.8599","25305018.0063","0","0","0","468.5","481872"
"35","1994","329590.9201","224.23","226499555.0487","27733842.0212","137251485.7705","40136333.5303","-16320048.9126","7438960.5307","1585200.0158","25840248.3918","0","0","0","480.74","484343"
"36","1995","329583.0381","230.16","231181186.3307","28048280.2599","140794824.6496","40206330.9905","-16389985.5384","7494908.9702","1452303.7785","26497204.4995","0","0","0","482.38","486661"
"37","1996","329614.0296","235.3","234986306.3136","28178619.0182","145002344.1904","39820836.3736","-16461912.7032","7555640.3172","1447591.2168","27146372.7862","0","0","0","473.39","489091"
"38","1997","352603.8033","234.2","241372358.9731","28115016.2263","145623094.8607","44656463.1479","-16535930.2118","7572391.419","2102720.4166","27662876.0952","0","0","0","483.24","491192"
"39","1998","352620.4396","234.3","239590869.5151","28386636.3682","146748271.8444","42113756.0657","-16612144.6509","7606046.7995","1612293.0023","28484368.1593","0","0","0","500.56","493799"
"40","1999","352611.1448","249.01","238628178.2827","28687159.1689","147293804.7789","40141636.5456","-16690669.9407","7668221.6331","1429648.1263","29191556.5072","0","0","0","511.59","496586"
"41","2000","352628.7515","222.8","241200443.7196","28604419.3762","150589162.3121","39248943.4402","-16771426.9031","7748005.7525","1382835.3776","29603443.6325","0","0","0","527.28","502487"
"42","2001","352596.6037","225.75","238236551.3905","28749442.7007","151293157.1667","35116726.4861","-11868875.4945","7820105.4274","1440515.0088","29878421.6795","0","0","0","494.88","505635"
"43","2002","352582.0556","264.05","245797334.5611","28797372.2375","154533901.2668","38592866.3524","-11871434.7964","7942734.4147","1569362.0951","30768645.9987","8856.2","3332.07","3181.2","511.65","508781"
"44","2003","352565.364","304.58","252320973.9781","28990345.5316","161341212.7629","37240277.3894","-11874378.6659","8078509.8163","1459201.851","31340077.5163","9521.63","3710.42","3192.3","520.37","510586"
"45","2004","352517.9543","306.17","262401917.7782","29587100.3542","168841912.4812","38075583.0683","-11877747.7995","8182066.6341","1498391.102","32202256.5426","9608.77","3531.96","3594.83","533.82","514097"
"46","2005","352512.9347","313.97","267807701.6925","29943189.5326","173358897.6203","37669909.8862","-11881588.3769","8272518.0913","1530957.6242","32697058.0091","9642.04","3579.38","3388.38","551.54","516741"
"47","2006","352509.2165","325.97","273743503.2043","30242426.7801","178571732.693","36600468.7584","-15543104.6574","8414248.0049","1781790.3803","33254382.2999","9637.12","3576.46","3508.25","549.23","522659"
"48","2007","352500.0401","323.82","279321268.0782","30830219.5665","184173184.3977","34888919.5464","-15544678.709","8495473.6135","1778361.6514","34008429.5254","9768.46","3721.05","3719.34","570.81","525986"
"49","2008","352455.851","344.68","283790009.3316","31014632.482","188077969.9524","35176800.1717","-15546115.6095","8580211.8144","1554984.1957","32882290.7933","9962.14","3218.48","3450.84","572.1","527631"
"50","2009","352451.4254","348.79","282787707.1024","31060026.924","185596696.841","35785967.3525","-15547396.0914","8636696.7546","1680716.3","32582373.3662","9865.34","2894.2","2572.83","545.3","529217"
